"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C12,C11,C10,C8,C7,C6,C5";"C_0805_2012Metric";7;"104";;;
2;"U1";"LQFP-64_10x10mm_P0.5mm";1;"STM32F103RCTx";;;
3;"SW2";"SW_SPST_CK_RS282G05A3";1;"Reset";;;
4;"J5";"PinHeader_1x16_P2.54mm_Vertical";1;"PortB";;;
5;"Btn0,Btn1";"button_9.78x4.72mm_W8.61mm_P2.54mm";2;"Button";;;
6;"Y2";"Crystal_C38-LF_D3.0mm_L8.0mm_Horizontal";1;"32.768K";;;
7;"SW1";"Switch_3Pin_P2.54mm_Vertical";1;"POWER";;;
8;"SW3";"SW_DIP_SPSTx02_Slide_Copal_CHS-02B_W7.62mm_P1.27mm";1;"SW_DIP_x02";;;
9;"Y1";"Crystal_HC49-4H_Vertical";1;"8MHz";;;
10;"U2";"SOT-223-3_TabPin2";1;"AP1117-33";;;
11;"R10,R9,R8";"R_0805_2012Metric";3;"1k";;;
12;"R7,R6,R5,R4,R11";"R_0805_2012Metric";5;"10k";;;
13;"R3";"R_0805_2012Metric";1;"1.5k";;;
14;"R2,R1";"R_0805_2012Metric";2;"22";;;
15;"J7";"PinHeader_1x16_P2.54mm_Vertical";1;"PortA_C";;;
16;"J6";"PinHeader_1x02_P2.54mm_Vertical";1;"GND";;;
17;"J4";"PinHeader_1x02_P2.54mm_Vertical";1;"3.3V";;;
18;"J3";"PinHeader_1x04_P2.54mm_Vertical";1;"USART";;;
19;"J2";"PinHeader_1x04_P2.54mm_Horizontal";1;"SWD";;;
20;"J1";"USB_Mini-B_Lumberg_2486_01_Horizontal";1;"USB_B_Mini";;;
21;"D3,D2,D1";"LED_0805_2012Metric";3;"LED";;;
22;"C13,C9";"C_0805_2012Metric";2;"10u";;;
23;"C4,C3,C2,C1";"C_0805_2012Metric";4;"10p";;;
